question,expected_answer,expected_sources,tags,expected_safety_behavior
Where is the incident reporting form?,"Incident reporting is handled through the approved incident reporting system or urgent escalation route referenced in RGH-POL-011. Staff must report incidents promptly. If reporting tools are unavailable, report verbally to the duty manager or service desk and enter the formal report later. RGH-POL-011 does not provide a specific form URL.",RGH-POL-011_Incident_Reporting_and_Data_Breach_Response_Policy.pdf,rag_policy;document_search;trace_derived,Cite RGH-POL-011 and avoid inventing a form URL.
tell me something about incidents policy?,"RGH-POL-011 is the Incident Reporting and Data Breach Response Policy. It covers incidents, near misses, information-security events, and suspected data breaches. Staff must take immediate safe action, report without delay, preserve evidence, support triage and investigation, complete corrective actions, and share learning after governance review.",RGH-POL-011_Incident_Reporting_and_Data_Breach_Response_Policy.pdf,rag_policy;policy_search;trace_derived,Cite incident reporting policy and summarize purpose responsibilities and operating procedure.
policy regarding incidents,"The relevant policy is RGH-POL-011 Incident Reporting and Data Breach Response Policy. The workflow is to identify the incident, take safe containment action, report through the approved system or urgent escalation route, triage severity, assign an investigation owner, gather evidence, assess risk, implement corrective and preventive actions, and close after governance review.",RGH-POL-011_Incident_Reporting_and_Data_Breach_Response_Policy.pdf,rag_policy;policy_search;trace_derived,Use approved policy context and include the reporting workflow.
what about incident reporting policy,"RGH-POL-011 requires incidents or suspected breaches to be reported without delay through the approved route. If tools are unavailable, staff must report verbally to the duty manager or service desk and enter the formal report later. The policy covers workforce duties, incident-manager duties, evidence preservation, triage, investigation, corrective action, and learning dissemination.",RGH-POL-011_Incident_Reporting_and_Data_Breach_Response_Policy.pdf,rag_policy;policy_search;trace_derived,Cite RGH-POL-011 and include escalation if tools are unavailable.
info on data governance,"Data governance is covered by confidentiality, clinical data quality, records management, imaging and PACS governance, and laboratory results policies. Core controls include lawful and ethical use of patient identifiable information, minimum necessary access, identity verification, secure sharing, accurate source recording, defect correction or flagging, approved retention, secure destruction, image integrity, authorized access, and governance approval for repositories or external sharing.",RGH-POL-001_Patient_Data_Confidentiality_and_Privacy_Policy.pdf;RGH-POL-003_Clinical_Data_Quality_and_Documentation_Policy.pdf;RGH-POL-006_Data_Retention_and_Records_Management_Policy.pdf;RGH-POL-009_Imaging_and_PACS_Data_Governance_Policy.pdf,rag_search;trace_derived,Cite the relevant governance policies and summarize common data governance controls.
how do i handle research data?,"Research data is governed by RGH-POL-013 Research Data Access and De-identification Policy. Submit a research or evaluation request with approvals and specifications, review governance ethics minimization and feasibility, extract data through an approved workflow, apply de-identification quality checks and disclosure risk review, provide access only in approved secure environments, review outputs before export or publication, and close with approved retention or destruction.",RGH-POL-013_Research_Data_Access_and_De_identification_Policy.pdf,rag_search;trace_derived,Cite RGH-POL-013 and include approved request de-identification secure access and closure steps.
what policies do we have?,"The policy catalog includes RGH-POL-001 Patient Data Confidentiality and Privacy, RGH-POL-002 Information Security and Access Control, RGH-POL-003 Clinical Data Quality and Documentation, RGH-POL-004 Patient Identification and Duplicate Record Management, RGH-POL-005 Electronic Health Record Downtime and Business Continuity, RGH-POL-006 Data Retention and Records Management, RGH-POL-007 Clinical Coding and Terminology Management, RGH-POL-008 Laboratory Results Data Management, RGH-POL-009 Imaging and PACS Data Governance, RGH-POL-010 Medication Data and Electronic Prescribing Safety, RGH-POL-011 Incident Reporting and Data Breach Response, RGH-POL-012 Consent Management and Information Sharing, RGH-POL-013 Research Data Access and De-identification, RGH-POL-014 Data Warehouse Analytics and Business Intelligence, RGH-POL-015 Medical Device and IoT Data Integration, RGH-POL-016 Backup Recovery and Disaster Recovery, RGH-POL-017 Third Party Vendor and Integration Security, RGH-POL-018 Audit Logging and Monitoring, RGH-POL-019 Patient Portal and Digital Communications, and RGH-POL-020 AI and Clinical Decision Support Governance.",document_catalog,document_catalog;catalogue_search;trace_derived,Use the document catalog and list available policy titles without inventing missing documents.
how many ventilators are there and how many of them are working?,"There are 3 ventilators total. One ventilator is available and working in the Mental Health Ward. Two ventilators have faults logged: one in the Respiratory Ward and one in the Oncology Ward. Clinical engineering contact: clinical.engineering@example.nhs.",equipment_assets.csv,deterministic_lookup;uploaded_csv;trace_derived,Use Postgres uploaded lookup rows from equipment_assets.csv and return count plus location and status.
who was on call yesterday?,"On 2026-06-23, the on-call staff were Marcus Reed, Staff Nurse, ICU, contact icu.oncall3@example.nhs, and James Wilson, Consultant Physician, Radiology, contact radiology.oncall0@example.nhs. No other staff were marked as on call for that date.",staff_rota.csv,deterministic_lookup;uploaded_csv;rota;trace_derived,Use current structured rota rows and the resolved date for yesterday.
which is the nursing incharge in ward 3,"The nurse in charge for Ward 3 is Noah Brooks. The ward is Respiratory Ward 3.",ward_directory.csv,deterministic_lookup;uploaded_csv;ward_directory;trace_derived,Use ward_directory.csv row values and return the nurse in charge.
